Date,Open,High,Low,Close
03/09/2023,"76.50","78.06","75.43","75.72"
03/08/2023,"77.32","77.73","76.11","76.66"
03/07/2023,"80.50","80.94","77.06","77.58"
03/06/2023,"79.92","80.63","78.32","80.46"
03/03/2023,"77.89","79.90","75.83","79.68"
03/02/2023,"77.74","78.59","77.23","78.16"
03/01/2023,"76.85","77.85","76.12","77.69"
02/28/2023,"75.76","77.83","75.55","77.05"
02/27/2023,"76.42","76.82","74.99","75.68"
02/24/2023,"75.60","76.63","74.09","76.32"
02/23/2023,"73.92","75.99","73.83","75.39"
02/22/2023,"76.11","76.55","73.80","73.95"
02/21/2023,"77.11","77.40","75.69","76.16"
02/17/2023,"78.07","78.25","75.06","76.34"
02/16/2023,"78.54","79.54","77.92","78.49"
02/15/2023,"78.83","79.15","77.25","78.59"
02/14/2023,"79.06","79.61","77.46","79.06"
02/13/2023,"79.94","80.62","78.45","80.14"
02/10/2023,"77.68","80.33","77.47","79.72"
02/09/2023,"78.45","78.84","76.52","78.06"
02/08/2023,"77.49","78.57","77.08","78.47"
02/07/2023,"74.57","77.60","74.35","77.14"
02/06/2023,"73.23","74.51","72.25","74.11"
02/03/2023,"75.92","78.00","73.10","73.39"
02/02/2023,"76.79","77.24","74.97","75.88"
02/01/2023,"79.06","79.73","76.05","76.41"
01/31/2023,"77.91","79.25","76.55","78.87"
01/30/2023,"80.04","80.49","77.66","77.90"
01/27/2023,"81.22","82.48","79.04","79.68"
01/26/2023,"80.48","82.14","79.92","81.01"
01/25/2023,"80.26","81.23","79.45","80.15"
01/24/2023,"81.62","82.22","79.66","80.13"
01/23/2023,"81.79","82.64","81.05","81.62"
01/20/2023,"80.60","81.64","79.69","81.31"
01/19/2023,"79.14","81.18","78.13","80.33"
01/18/2023,"80.97","82.38","78.94","79.48"
01/17/2023,"78.84","81.23","78.68","80.18"
01/13/2023,"78.32","80.11","77.97","79.86"
01/12/2023,"77.70","79.16","77.10","78.39"
01/11/2023,"74.78","77.84","74.31","77.41"
01/10/2023,"74.86","75.92","73.84","75.12"
01/09/2023,"73.47","76.74","73.47","74.63"
01/06/2023,"73.97","75.47","73.24","73.77"
01/05/2023,"73.25","74.92","72.46","73.67"
01/04/2023,"77.25","77.42","72.73","72.84"
01/03/2023,"80.57","81.50","76.60","76.93"
